LOCATION_NAME,VISIT_TYPE,LATITUDE,LONGITUDE
Quinault,2,47.46028,-123.802838
West Seattle,1,47.579098,-122.411263
North Bend,1,47.502357,-121.797867
Everett,2,47.982567,-122.193375
Orcas Island,2,48.708361,-122.910613

Portland,2,45.512794,-122.679565

Boise,2,43.618881,-116.215019

Saba,1,17.633333333333,-63.239444444444
Sint Eustatius,2,17.4826800,-62.9832400
Sint Maarten,2,18.073099,-63.082199

Amsterdam,2,52.379189,4.899431
Paris,2,48.864716,2.349014

San Diego,1,32.715736,-117.161087
San Francisco,8,37.773972,-122.431297	

Miami Beach,2,25.761681,-80.191788
Serasota,2,27.341274,-82.528267

San Antonio,6,29.424122,-98.493629

Minneapolis,1,44.986656,-93.258133
Saint Paul MN, 2,44.954445, -93.091301

Maui,2,20.798363,-156.331925
Kauai,2,22.108543,-159.496765

Grand Tetons,2,43.7904282,-110.68176269999998
Yellowstone,2,44.423691,-110.588516

Victoria,2,48.428611,-123.365556

Costa Rica,2,9.934739,-84.087502
Tijuana,2,32.522499,-117.046623
Sydney,2,-33.865143,151.209900
Katoomba,2,-33.71977,150.30739


